marca,modelo,ano,quilometros,cilindrada,matricula,url,preco,data_inspecao,data
Yamaha,MT-07,2018 ,11000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt07-abs-2018-e-11000km-IDHechX.html,5890,Hoje às 13:31,10082022_1528
Yamaha,MT-07,2019 ,36000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt07-abs-2019-e-36000km-IDH7HiE.html,5980,Hoje às 13:31,10082022_1529
Yamaha,MT-07,2015 ,21000,,,https://www.olx.pt/d/anuncio/vendo-yamaha-mt-07-IDHgZNM.html,5250,Hoje às 13:30,10082022_1529
Yamaha,MT-07,2021 ,6500,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-tracer-7-2021-IDHgX6Z.html,7900,09 de agosto de 2022,10082022_1529
Yamaha,MT-07,2016 ,22000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-55kw-IDHgWfI.html,6000,09 de agosto de 2022,10082022_1529
Yamaha,MT-07,2015 ,65000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-2015-abs-c-extras-IDH7MKT.html,5000,08 de agosto de 2022,10082022_1529
Yamaha,MT-07,2019 ,10400,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-2019-IDHaK9S.html,7000,08 de agosto de 2022,10082022_1529
Yamaha,MT-07,2021 ,5000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt07-tracer-IDHgIFO.html,9100,07 de agosto de 2022,10082022_1529
Yamaha,MT-07,2019 ,450,501 - 1000 cc,,https://www.olx.pt/d/anuncio/vendo-mota-mt07-2019-IDHgG5r.html,8500,06 de agosto de 2022,10082022_1529
Yamaha,MT-07,2018 ,,501 - 1000 cc,,https://www.olx.pt/d/anuncio/vendo-mota-mt07-em-bom-estado-IDH7hZr.html,6400,06 de agosto de 2022,10082022_1529
Yamaha,MT-07,2016 ,24000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-tracer-700-55kw-IDHgC9Z.html,7000,05 de agosto de 2022,10082022_1529
Yamaha,MT-07,2014 ,28500,,,https://www.olx.pt/d/anuncio/yamaha-mt07-55kw-IDHgBRa.html,4950,05 de agosto de 2022,10082022_1529
Yamaha,MT-07,2019 ,4600,,,https://www.olx.pt/d/anuncio/yamaha-mt-07-ice-fluo-2019-abs-IDHgAV0.html,6900,05 de agosto de 2022,10082022_1529
Yamaha,MT-07,2017 ,17000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-tracer-07-IDHdgs3.html,7000,05 de agosto de 2022,10082022_1529
Yamaha,MT-07,2015 ,24000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt07-2015-akrapovic-IDHdaHj.html,5800,04 de agosto de 2022,10082022_1529
Yamaha,MT-07,2017 ,40000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-55kw-IDHgspP.html,5000,03 de agosto de 2022,10082022_1529
Yamaha,MT-07,2017 ,21000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-55kw-preto-vermelho-2017-IDGIwM7.html,5800,03 de agosto de 2022,10082022_1530
Yamaha,MT-07,2019 ,11300,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-55kw-2019-o-montro-IDHgqYS.html,9000,03 de agosto de 2022,10082022_1530
Yamaha,MT-07,2019 ,20,,,https://www.olx.pt/d/anuncio/yamaha-mt07-35kw-IDHgoYZ.html,6250,03 de agosto de 2022,10082022_1530
Yamaha,MT-07,2018 ,37350,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-2018-IDHg8tB.html,6000,01 de agosto de 2022,10082022_1530
Yamaha,MT-07,2015 ,20150,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-50-years-IDHg4TB.html,6500,01 de agosto de 2022,10082022_1530
Yamaha,MT-07,2017 ,42000,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt-07-2017-IDHfYHp.html,5700,01 de agosto de 2022,10082022_1530
Yamaha,MT-07,2014 ,5780,501 - 1000 cc,,https://www.olx.pt/d/anuncio/yamaha-mt07-em-timo-estado-IDHfQAo.html,5900,31 de julho de 2022,10082022_1530
